structure_no,latitude,longitude,geometry,inside_shakemap,pga
29C0180,37.64686111111111,-121.49088055555556,POINT (-121.49088055555556 37.64686111111111),True,0.001377684180624783
29C0181,37.650999999999996,-121.48899166666666,POINT (-121.48899166666666 37.650999999999996),True,0.001377684180624783
29C0182,37.65645,-121.48671388888889,POINT (-121.48671388888889 37.65645),True,0.001377684180624783
29C0183,37.65804166666666,-121.47640833333334,POINT (-121.47640833333334 37.65804166666666),True,0.001377684180624783
29C0184,37.662819444444445,-121.46855277777777,POINT (-121.46855277777777 37.662819444444445),True,0.001630620565265417
29C0185,37.679874999999996,-121.45270555555555,POINT (-121.45270555555555 37.679874999999996),True,0.0015020397258922458
29C0186,37.691599999999994,-121.45277222222222,POINT (-121.45277222222222 37.691599999999994),True,0.0015020397258922458
29C0187,37.675444444444445,-121.26584166666666,POINT (-121.26584166666666 37.675444444444445),True,0.0021315496414899826
29C0220,37.643475,-121.39760000000001,POINT (-121.39760000000001 37.643475),True,0.001761135645210743
29C0221,37.680547222222216,-121.39784166666668,POINT (-121.39784166666668 37.680547222222216),True,0.001712044351734221
29C0226,37.66710833333333,-121.35619444444444,POINT (-121.35619444444444 37.66710833333333),True,0.0019841415341943502
29C0320,37.67749444444444,-121.4343638888889,POINT (-121.4343638888889 37.67749444444444),True,0.0016793555114418268
29C0346,37.72185555555556,-121.51739722222221,POINT (-121.51739722222221 37.72185555555556),True,0.001572122098878026
29C0347,37.718047222222225,-121.51303333333334,POINT (-121.51303333333334 37.718047222222225),True,0.001572122098878026
29C0348,37.699147222222216,-121.47646666666667,POINT (-121.47646666666667 37.699147222222216),True,0.0016054342268034816
29C0349,37.658569444444446,-121.41603333333335,POINT (-121.41603333333335 37.658569444444446),True,0.001719407388009131
29C0352,37.641308333333335,-121.36115833333332,POINT (-121.36115833333332 37.641308333333335),True,0.0018250218126922846
29C0353,37.61717222222222,-121.32525555555556,POINT (-121.32525555555556 37.61717222222222),True,0.0018948606448248029
