Model Family,Encoded Feature,Source Feature,Coefficient,Abs_Coefficient,Model
Structural + SVI,num__operating_rating,operating_rating,0.0028521355324246872,0.0028521355324246872,Support Vector Regressor (LinearSVR)
Structural + SVI,num__spans,spans,-0.002116150012221809,0.002116150012221809,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.0020580733702517417,0.0020580733702517417,Support Vector Regressor (LinearSVR)
Structural + SVI,num__cond,cond,0.0015175519080722374,0.0015175519080722374,Support Vector Regressor (LinearSVR)
Structural + SVI,num__SVI,SVI,-0.0013305248527228728,0.0013305248527228728,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0009336157014286618,0.0009336157014286618,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB6,HWB_CLASS,-0.0009105598381146662,0.0009105598381146662,Support Vector Regressor (LinearSVR)
Structural + SVI,num__reconstructed_flag,reconstructed_flag,0.0007374294688191067,0.0007374294688191067,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__design_era_1989_1990+,design_era_1989,0.0007215470287964615,0.0007215470287964615,Support Vector Regressor (LinearSVR)
Structural + SVI,num__max_span_log1p,max_span_log1p,-0.0005109336784489318,0.0005109336784489318,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB7,HWB_CLASS,-0.00043713056595171375,0.00043713056595171375,Support Vector Regressor (LinearSVR)
Structural + SVI,num__time_since_rehab,time_since_rehab,0.0001485330077024217,0.0001485330077024217,Support Vector Regressor (LinearSVR)
Structural + SVI,num__skew,skew,-7.898798558695991e-05,7.898798558695991e-05,Support Vector Regressor (LinearSVR)
Structural + SVI,num__age_years,age_years,-9.561333504791792e-06,9.561333504791792e-06,Support Vector Regressor (LinearSVR)
Structural + SVI,cat__HWB_CLASS_HWB28,HWB_CLASS,0.009308479748301037,0.009308479748301037,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB2,HWB_CLASS,0.009199409153714462,0.009199409153714462,Ridge Regression
Structural + SVI,num__deck_area_log1p,deck_area_log1p,0.005764969810372705,0.005764969810372705,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB1,HWB_CLASS,0.0052909554693438094,0.0052909554693438094,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB3,HWB_CLASS,-0.005091962983254604,0.005091962983254604,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB9,HWB_CLASS,-0.0049108717838271514,0.0049108717838271514,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB5,HWB_CLASS,-0.0041756551812220325,0.0041756551812220325,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB8,HWB_CLASS,-0.003824319834546049,0.003824319834546049,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB4,HWB_CLASS,0.003158953033196385,0.003158953033196385,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB10,HWB_CLASS,-0.0031229225451486885,0.0031229225451486885,Ridge Regression
Structural + SVI,num__operating_rating,operating_rating,0.0027611497462563376,0.0027611497462563376,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB6,HWB_CLASS,-0.0023660087102567204,0.0023660087102567204,Ridge Regression
Structural + SVI,cat__design_era_1989_1990+,design_era_1989,-0.002007968137286368,0.002007968137286368,Ridge Regression
Structural + SVI,num__spans,spans,-0.001982124700557111,0.001982124700557111,Ridge Regression
Structural + SVI,cat__design_era_1989_1975-1989,design_era_1989,0.0017272183262420533,0.0017272183262420533,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB7,HWB_CLASS,-0.001505315843459878,0.001505315843459878,Ridge Regression
Structural + SVI,num__cond,cond,0.00112469671753216,0.00112469671753216,Ridge Regression
Structural + SVI,cat__HWB_CLASS_HWB11,HWB_CLASS,-0.0010909505810499356,0.0010909505810499356,Ridge Regression
