Feature Set,Model,CV_MAE,CV_RMSE,CV_RMSLE,CV_R2,CV_MAE_std,CV_RMSE_std,CV_RMSLE_std,CV_R2_std,Holdout_MAE,Holdout_RMSE,Holdout_RMSLE,Holdout_R2,Holdout_MAE_Positive,Holdout_RMSE_Positive,Holdout_RMSLE_Positive,Holdout_R2_Positive
Structural Core,Elastic Net,0.014187721657407218,0.04166981936643054,0.036582069081140374,0.021241334249334498,0.00023914713469111313,0.001482329970848378,0.0011963210982903762,0.0013171268033109443,0.01462745735802934,0.043889569883450816,0.038397409271822246,0.0193203433075827,0.018903373452371124,0.05402015337577208,0.04718047164472302,0.00839354124778946
Structural + SVI + HAZUS Class,LinearSVR,0.02059677541332132,0.042075599226046735,0.03723445455133745,0.0018969298808607649,0.0003097003584139618,0.0013933563255735454,0.001107500846868585,0.005896945016460623,0.02106199124899286,0.044178501671206016,0.038928517927944085,0.006365912725065259,0.025117565116333,0.05355957608043979,0.0469292857475861,0.025230385477079897
Structural + HAZUS Class,LinearSVR,0.020608441855113648,0.042079897730181,0.03723783670598888,0.0016912858591600448,0.00031291502800850397,0.0013926192211803834,0.0011067418079719427,0.0059457832131045475,0.021081084086411465,0.04418005102473926,0.03892912343496226,0.006296217401736692,0.025144846586420033,0.05356788425484983,0.0469369605657542,0.024927949024637575
Structural + SVI,LinearSVR,0.021369273515953816,0.04233257518234915,0.03749133530651516,-0.010377810562733384,0.0002608131909669958,0.0013748325760449748,0.001088107516188945,0.006527280083790652,0.02177754838923136,0.04440161463267231,0.0391512878323973,-0.0036956528902643004,0.02563313055392994,0.053789772964669205,0.047152510572550786,0.016833338606509485
Structural Core,LinearSVR,0.02148265708321008,0.04238872255623255,0.03754958080624058,-0.013055946095443286,0.0002488468240889067,0.001378021554669828,0.001090747095869713,0.006316785664602652,0.021883887503746067,0.04446229201630731,0.03921444390200176,-0.006440744008726629,0.025640757344266192,0.053835031191019365,0.04719754123045596,0.01517818758904077
Structural + SVI + HAZUS Class,Decision Tree,0.013273299676145017,0.04380002205170987,0.03897441705189412,-0.0835282537098611,0.00031107080823162864,0.0010098599956278303,0.0008134456742910216,0.053772789645784726,0.0136495076839164,0.04480733000310171,0.039727310424156344,-0.02212179343946019,0.01797495965122514,0.05343454794784821,0.04713189426823986,0.02977602919389999
Structural + HAZUS Class,Decision Tree,0.013183517387302187,0.043891795315484615,0.03903746965618665,-0.08718662761924383,0.0003191992520174739,0.0014395897175681503,0.0012089316337398548,0.04683121958808703,0.013235272037785644,0.04417808573834479,0.03912123733697381,0.00638462241904747,0.017509316545630874,0.052852000602984124,0.046576121384697924,0.05081561823286629
Structural Core,Decision Tree,0.013368059253753483,0.04402129396931614,0.03911068143334547,-0.09462343082757396,0.00041218323226042866,0.001508281344580574,0.0012550002013225156,0.06784762217494344,0.013466924788710975,0.04381325661563581,0.03878880264965488,0.022727704382266678,0.017661441518410436,0.052254075035402026,0.04602869380021156,0.07217077021234153
Structural + SVI,Decision Tree,0.013471010349206211,0.04437756495039532,0.03946382066776783,-0.11164675614226686,0.0003153952230335018,0.0013717186951967648,0.0011419195665491352,0.050846618440375725,0.014075264483188464,0.04502605683623252,0.03996163059866545,-0.032125117894243216,0.01871263192359995,0.05402643900419924,0.04773424755666946,0.008162766917266584
Structural + SVI,AdaBoost,0.0390613299903906,0.054345445454837805,0.050184852448241994,-0.666887323376943,0.0009204373518490669,0.0011703522607266648,0.0008663591395318107,0.05013489062901248,0.04089122537814099,0.056455409539967326,0.05196900987300361,-0.6226155782795091,0.04446387269707724,0.06278534107747893,0.057093310910634215,-0.3395046845158358
Structural + SVI + HAZUS Class,AdaBoost,0.03961080487551449,0.0547694499292202,0.05060514641635111,-0.6919218305472296,0.000792392910683981,0.0015321838973147625,0.0012353327090542504,0.02765602993322281,0.04184503338641766,0.057105967818114806,0.05262862340315028,-0.6602271407687053,0.045672751913656835,0.06340666101344201,0.057743996695108386,-0.3661471762989419
Structural + HAZUS Class,AdaBoost,0.03993963475748041,0.05478277256719105,0.05068451981747022,-0.692790942085201,0.001025348495073521,0.001517791070773291,0.0012773947114838504,0.02887049263695447,0.040793085490184545,0.05583058615670595,0.051429795645597264,-0.5868975575207915,0.044624301127772374,0.06227456426061006,0.056656013551011145,-0.3177988246969341
Structural Core,AdaBoost,0.04010736044589935,0.05487137571472181,0.050780185882624805,-0.6976713066750365,0.0014734595870400829,0.001758927511677563,0.001525072885050351,0.018730331564059115,0.04047440789047203,0.0556209436137562,0.051217683269371504,-0.575002406239459,0.044066792008394175,0.061993348060552865,0.05636473535705118,-0.3059240040513107
